time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/learning_rate
1333,4046848,3034,494,931.8546166699999,254.08,0.00019722141550460037,0.03323923,0.17480631172657013,0.2,0.31396484375,0.030302492901682854,0.005848320792756568,0.995855419896543,0.9729780100751668,4950,0.0003
1333,4055040,3040,495,939.41963991,255.48,0.0037571435128654685,0.03320019,0.17647190392017365,0.2,0.32623291015625,-0.01506197638809681,0.004757848202280002,0.9923815480433404,0.9619901496917009,4960,0.0003
1333,4063232,3046,496,937.79507185,255.11,0.00018223339312157806,0.0379252,0.1756083220243454,0.2,0.31658935546875,0.03440588712692261,0.004207994197076914,0.996638328069821,0.969649279396981,4970,0.0003
1333,4071424,3052,497,940.93611288,255.73,0.00010278532792398209,0.03575599,0.1762017160654068,0.2,0.32833251953125,-0.0361701101064682,0.0025072314749195355,0.9994954304420389,0.9682626969646663,4980,0.0003
1333,4079616,3058,498,941.3316989700002,255.87,6.656180451187765e-05,0.033908732,0.176502987742424,0.2,0.30941162109375,-0.018014827743172646,0.0029541917887399905,0.9997328770696186,0.9563392563723028,4990,0.0003
1333,4087808,3065,499,941.1409943699999,255.57,4.5810730436812716e-05,0.033217706,0.1764768809080124,0.2,0.31849365234375,0.018270399421453476,0.0005446508361274027,0.9998614684591303,0.9570821014232933,5000,0.0003
1333,4096000,3071,500,939.2022856599999,255.0,4.363750362017527e-05,0.043221887,0.17674405872821808,0.2,0.30936279296875,-0.020068595185875893,0.0040777025502393375,0.9998829481337452,0.9576953245792538,5010,0.0003
1333,4104192,3077,501,938.27560427,254.64,5.467445289042416e-05,0.03811758,0.17884176969528198,0.2,0.32301025390625,-0.006095704156905413,-9.987658995669335e-05,0.9998755516571691,0.9289236461743713,5020,0.0003
1333,4112384,3083,502,936.91599079,254.21,4.382244664995483e-05,0.032585844,0.17927610874176025,0.2,0.32415771484375,0.03301173448562622,0.0020330168881628197,0.9998937549244147,0.9100019986275584,5030,0.0003
1333,4120576,3089,503,936.8675416899999,254.14,4.903853716058393e-05,0.03457641,0.1789771318435669,0.2,0.32818603515625,-0.0019542910158634186,0.0011955366881011287,0.9998837056919001,0.9072946829721331,5040,0.0003
