rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates
938.9351631599999,475136,281.09,232,764,621,-0.015354317925812211,0.000868775651724718,-1.0582079492509364,0.35104572772979736,0.0003,0.2,0.254931640625,-0.007740689441561699,0.9969889663625509,0.028666997,2310
928.0893864599999,477184,278.24,233,764,624,-0.008084739773767068,0.023966203176678393,-1.0732742685824632,0.3534311056137085,0.0003,0.2,0.248876953125,-0.00978037342429161,0.9387872889637947,0.024766244,2320
923.7450390099999,479232,277.02,234,764,626,-0.006228561417083256,0.020435880402146722,-1.0849462509155274,0.35402366518974304,0.0003,0.2,0.2126953125,-0.03818256035447121,0.9209679737687111,0.01832045,2330
921.3943294699999,481280,276.34,235,764,629,-0.007967344888311346,0.0013971278856843127,-1.0674579244107008,0.3489537239074707,0.0003,0.2,0.1955078125,0.00722337095066905,0.9935671035200357,0.016359292,2340
915.34907916,483328,274.53,236,764,632,-0.011215025167621207,0.0010731179017966497,-1.0549587085843086,0.3498678207397461,0.0003,0.2,0.203857421875,-0.025576908141374588,0.996174837462604,0.019508753,2350
907.0720034200001,485376,272.0,237,764,634,-0.016219892966910267,0.0012492232186559703,-1.054722424596548,0.3485502302646637,0.0003,0.2,0.22529296875,-0.037018414586782455,0.9963411232456565,0.02245083,2360
897.2007131500001,487424,269.14,238,764,637,-0.01341151317828917,0.0028573527191838367,-1.0462763343006372,0.34730109572410583,0.0003,0.2,0.245654296875,0.0034691616892814636,0.9923385973088443,0.018775176,2370
889.9502238199998,489472,267.07,239,764,640,-0.014278029838169459,0.0007587512500322191,-1.0287207577377557,0.3455776274204254,0.0003,0.2,0.227490234375,-0.008978283032774925,0.9976719506084919,0.019154588,2380
879.1125594800001,491520,263.85,240,764,642,-0.010546777890704106,0.0010592334668217517,-1.0301153771579266,0.3463747501373291,0.0003,0.2,0.216455078125,-0.026593556627631187,0.9970207887236029,0.018402651,2390
877.0689059600002,493568,263.25,241,764,645,-0.01431680674722884,0.0007465216869604774,-1.0038460716605186,0.34043219685554504,0.0003,0.2,0.219091796875,-0.014031467027962208,0.9970947855617851,0.019723285,2400
874.6859129299999,495616,262.51,242,764,648,-0.01707674348144792,0.0009940139045284014,-0.9882666328921914,0.3407733738422394,0.0003,0.2,0.23037109375,-0.032403115183115005,0.997376665007323,0.021580297,2410
869.3579498899999,497664,261.09,243,764,650,-0.009293416059517768,0.002244728759978898,-0.9929070001468062,0.34125998616218567,0.0003,0.2,0.22900390625,-0.03526025637984276,0.9940538620576262,0.024755843,2420
857.76927699,499712,258.1,244,764,653,-0.009749304529395885,0.0007105979089828907,-0.9917671110481023,0.3410942852497101,0.0003,0.2,0.209326171875,-0.02563667856156826,0.9968341293279082,0.02116492,2430
855.4908181199999,501760,257.02,245,764,656,-0.014664573303889483,0.0008151567250024528,-0.9898119257763028,0.34005698561668396,0.0003,0.2,0.23759765625,0.026614071801304817,0.9963075385894626,0.023474589,2440
849.2451015600002,503808,255.37,246,764,658,-0.013619452167768031,0.000584799560965621,-0.9691278126090765,0.33622536063194275,0.0003,0.2,0.233984375,-0.0074357702396810055,0.9967269280459732,0.025894027,2450
845.7722271299999,505856,254.41,247,764,661,-0.016051953531132312,0.003985449665560736,-0.9491891017183661,0.33524346351623535,0.0003,0.2,0.2365234375,-0.0015608806861564517,0.9901229441165924,0.026772879,2460
839.73109572,507904,252.59,248,764,664,-0.00992894944793079,0.0020228432473231805,-0.9405329022556543,0.33434441685676575,0.0003,0.2,0.232421875,-0.03492364287376404,0.9945684657432139,0.018774312,2470
834.59359718,509952,251.29,249,764,666,-0.011964339166297577,0.0006673881321148656,-0.9273888230323791,0.3322245180606842,0.0003,0.2,0.2171875,-0.002563955495133996,0.9974382200744003,0.018848356,2480
833.2409071200001,512000,250.69,250,764,669,-0.008417265694879461,0.0016557368007852347,-0.9138671962544322,0.3317750096321106,0.0003,0.2,0.22509765625,-0.017029015347361565,0.9958609440363944,0.024977442,2490
831.5467117200001,514048,250.0,251,764,672,-0.01345026750204852,0.0006714400878081505,-0.8953698029741645,0.32807067036628723,0.0003,0.2,0.232275390625,-0.016661059111356735,0.9979011598043144,0.018011488,2500
833.71815758,516096,250.37,252,764,674,-0.012846556978183798,0.0007440131637849845,-0.8738256234675645,0.32735010981559753,0.0003,0.2,0.24052734375,-0.042104654014110565,0.997990392614156,0.021440383,2510
833.4934833900002,518144,249.93,253,764,677,-0.013141964916212601,0.0009601311992810224,-0.8702649217098951,0.32735636830329895,0.0003,0.2,0.234912109375,0.005184761248528957,0.9973977757617831,0.025328264,2520
833.4916605599999,520192,249.73,254,764,680,-0.0127016153302975,0.0009179086180665763,-0.8770736290141941,0.3286468982696533,0.0003,0.2,0.248583984375,0.01277399156242609,0.9975278361234814,0.021850917,2530
832.47422583,522240,249.13,255,764,682,-0.008543723459297325,0.0007914009618616546,-0.8963865088298917,0.330818772315979,0.0003,0.2,0.222998046875,-0.04323877766728401,0.9981478422414511,0.021410227,2540
835.0686981,524288,249.5,256,764,685,-0.015053099404030944,0.0006621811570767022,-0.9017486413940787,0.32973822951316833,0.0003,0.2,0.234423828125,-0.049291353672742844,0.9983144584111869,0.024377057,2550
832.34589521,526336,248.37,257,764,688,-0.015017978419200518,0.000709194475075492,-0.9093114737421274,0.3315909802913666,0.0003,0.2,0.248046875,-0.010497325100004673,0.9979914180003107,0.02770541,2560
832.0919709300001,528384,247.78,258,764,690,-0.011013910901965573,0.00048320089631488373,-0.9052752899006009,0.32893216609954834,0.0003,0.2,0.238134765625,0.033400215208530426,0.998202599468641,0.02443244,2570
834.1921133399999,530432,247.79,259,764,693,-0.01287532969363383,0.000412012408105511,-0.8926427001133561,0.3286909759044647,0.0003,0.2,0.232421875,-0.023917963728308678,0.9984258555341512,0.02130057,2580
